Plant Species,Antidiabetic,Hypoglycemic,Antihyperglycemic,α-amylase inhibitor,α-glucosidase inhibitor,outcome
Cucurbita ficifolia,0,4,0,0,0,0
Cucurbita pepo,5,0,0,0,0,1
Curculigo latifolia,5,0,0,0,0,1
Curculigo orchioides,5,0,0,0,0,1
Curculigo recurvata,5,0,0,0,0,1
Curcuma angustifolia,5,0,0,0,0,1
Curcuma domestica,5,0,0,0,0,1
Curcuma longa,5,0,0,0,0,1
Curcuma xanthorrhiza,5,0,0,0,0,1
Cuscuta reflexa,5,0,0,0,0,1
Cuscuta chinensis,5,0,0,0,0,1
Cuscuta americana,5,0,0,0,0,1
Cynomorium coccineum,5,0,0,0,0,1
Cynomorium songaricum,5,0,0,0,0,1
Cyperus kyllinga,5,0,0,0,0,1
Cyperus laevigatus,5,0,0,0,0,1
Cyperus rotundus,5,0,0,0,0,1
Delonix regia,5,0,0,0,0,1
Delonix elata,5,0,0,0,0,1
Dendrobium nobile,5,0,0,0,0,1
Dendrobium loddigesii,0,0,0,0,1,0
Desmodium gangeticum,5,0,0,0,0,1
Desmodium gyrans,5,0,0,0,0,1
Desmodium styracifolium,5,0,0,0,0,1
Dioscorea alata,5,0,0,0,0,1
Dioscorea bulbifera,0,0,0,2,1,0
Dioscorea japonica,5,0,0,0,0,1
Dioscorea nipponica,5,0,0,0,0,1
Dioscorea opposita,5,0,0,0,0,1
Diospyros canaliculata,5,0,0,0,0,1
Diospyros crassiflora,5,0,0,0,0,1
Diospyros lotus,5,0,0,0,0,1
Diospyros melanoxylon,5,0,0,0,0,1
Diospyros peregrina,5,0,0,0,0,1
Elephantopus scaber,5,0,0,0,0,1
Elephantopus mollis,5,0,0,0,0,1
Embelia madagascariensis,0,4,0,0,0,0
Embelia ribes,5,0,0,0,0,1
Enicostema axillare,5,0,0,0,0,1
Enicostema littorae,5,0,0,0,0,1
Erica arborea,5,0,0,0,0,1
Erica bocquetii,5,0,0,0,0,1
Erica sicula,5,0,0,0,0,1
Erythrina indica,5,0,0,0,0,1
Erythrina variegeta,5,0,0,0,0,1
Eucalyptus globulus,0,0,3,0,0,0
Eucalyptus torreliana,0,0,3,0,0,0
Eugenia cumini,0,0,0,2,0,0
Eugenia jambolana,0,0,0,2,0,0
Eugenia polyantha,5,0,0,0,0,1
Eugenia uniflora,0,0,0,2,0,0
Euonymus laxiflorus,5,0,0,0,0,1
Euonymus alatus,5,0,0,0,0,1
Euphorbia caducifolia,5,0,0,0,0,1
Euphorbia dioeca,0,0,0,0,1,0
Euphorbia drumondii,0,4,0,0,0,0
Euphorbia hirta,0,0,0,0,1,0
Euphorbia humifusa,5,0,0,0,0,1
Euphorbia kansui,5,0,0,0,0,1
Euphorbia ligularia,5,0,0,0,0,1
Euphorbia neriifolia,5,0,0,0,0,1
Euphorbia prostrata,0,0,3,0,0,0
Euphorbia thymifolia,0,0,3,0,0,0
Ferula assa-foetida,5,0,0,0,0,1
Ferula feruloides,5,0,0,0,0,1
Ferula hermonis,5,0,0,0,0,1
Ferula persica,0,4,0,0,0,0
Ficus amplissima,5,0,0,0,0,1
Ficus benghalensis,5,0,0,0,0,1
Ficus carica,5,0,0,0,0,1
Ficus cunia,0,0,0,0,1,0
Ficus deltoidea,0,0,0,0,1,0
